timestamp_s,dt_s,pitch_setpoint,pitch_measurement,pitch_command,roll_setpoint,roll_measurement,roll_command,yaw_setpoint,yaw_measurement,yaw_command,throttle
0.099,0.099,-3.657,0.279,2.271,0.281,-0.049,-9.678,2.787,-18.485,52.482,537.996
0.112,0.011,1.564,0.085,8.482,2.835,-0.157,-11.730,1.532,-18.180,51.563,537.996
0.125,0.011,3.652,0.078,8.792,-6.488,-0.150,-9.990,3.382,-18.148,51.255,537.996
0.138,0.011,1.647,0.077,-0.755,-1.807,-0.165,-11.998,-0.253,-18.111,53.676,537.996
0.151,0.011,-1.416,0.071,0.535,0.726,-0.151,-10.556,2.799,-18.092,53.141,537.996
0.179,0.012,3.153,0.088,-0.444,-0.125,-0.164,-11.507,4.237,-18.006,53.841,537.996
0.192,0.011,-5.081,0.083,2.692,6.535,-0.150,-2.736,3.949,-17.964,50.097,537.996
0.205,0.011,-2.607,0.088,0.959,-4.402,-0.159,-14.878,3.993,-17.927,49.979,537.996
0.218,0.011,2.740,0.098,-2.222,4.415,-0.173,-11.326,3.412,-17.874,49.749,537.996
0.231,0.011,-2.015,0.078,0.782,-3.550,-0.157,-13.937,3.837,-17.820,49.975,537.996
0.244,0.011,-1.837,0.085,0.676,-2.013,-0.168,-12.231,4.412,-17.761,49.160,537.996
0.271,0.011,4.847,0.094,-3.000,-8.010,-0.177,-18.896,6.347,-17.613,47.407,537.996
0.284,0.011,0.100,0.102,0.282,0.036,-0.181,-9.964,4.812,-17.539,48.335,537.996
0.297,0.011,-4.956,0.096,1.910,2.617,-0.172,-7.095,9.276,-17.454,44.895,537.996
0.310,0.011,1.945,0.112,-3.396,0.074,-0.171,-11.640,1.812,-17.393,49.293,537.996
0.323,0.011,1.893,0.099,0.437,3.644,-0.166,-8.489,3.606,-17.350,49.342,537.996
0.336,0.011,-0.603,0.092,1.810,-1.770,-0.150,-4.107,6.625,-17.297,46.242,537.996
0.349,0.011,-0.766,0.085,-1.430,-8.721,-0.174,-26.849,7.321,-17.234,46.323,537.996
0.376,0.011,4.658,0.098,-2.605,-16.594,-0.197,-28.426,5.978,-17.082,45.448,537.996
0.389,0.011,4.104,0.105,-2.663,-0.917,-0.215,-23.603,2.277,-17.008,45.620,537.996
0.402,0.011,-6.638,0.094,0.310,12.358,-0.155,-3.753,5.260,-16.943,48.808,537.996
0.415,0.011,12.921,0.125,-7.551,-15.493,-0.186,-27.205,9.585,-16.851,42.728,537.996
0.428,0.011,-0.279,0.124,1.661,4.441,-0.209,-5.600,4.173,-16.751,45.262,537.996
0.441,0.011,-3.890,0.128,1.849,5.994,-0.194,-3.359,13.398,-16.635,43.964,537.996
0.464,0.011,2.330,0.126,-1.078,-2.574,-0.197,-12.871,4.993,-16.483,45.119,537.996
0.477,0.011,2.022,0.131,0.462,1.393,-0.190,-12.567,5.713,-16.419,44.650,537.996
0.490,0.011,-2.759,0.127,1.431,8.246,-0.178,-0.855,5.429,-16.351,44.332,537.996
0.503,0.011,1.122,0.128,-0.492,-11.190,-0.199,-22.568,3.909,-16.286,44.652,537.996
0.516,0.011,0.479,0.131,-0.411,4.158,-0.219,-16.907,5.843,-16.206,42.986,537.996
0.529,0.011,-5.489,0.124,2.629,4.897,-0.192,-4.591,6.715,-16.113,42.637,537.996
0.555,0.011,-0.757,0.124,1.502,2.779,-0.190,-9.261,3.512,-15.948,44.075,537.996
0.568,0.011,3.160,0.115,-2.056,-3.390,-0.182,-13.786,9.271,-15.860,40.357,537.996
0.581,0.011,-1.039,0.128,-2.718,-0.330,-0.192,-14.658,5.286,-15.766,41.061,537.996
0.594,0.011,-0.077,0.120,-0.203,3.034,-0.183,-10.477,6.430,-15.681,43.754,537.996
0.607,0.011,3.537,0.114,2.361,-8.480,-0.190,-8.165,8.502,-15.591,38.904,537.996
0.620,0.011,-1.462,0.128,0.482,-7.120,-0.212,-17.932,3.728,-15.510,43.180,537.996
0.648,0.012,-0.663,0.128,-0.100,-7.133,-0.215,-17.948,5.970,-15.355,40.990,537.996
0.661,0.011,1.813,0.139,-0.596,5.388,-0.236,-22.438,5.044,-15.281,40.592,537.996
0.674,0.011,-1.637,0.136,0.330,8.379,-0.205,-0.719,5.591,-15.220,40.943,537.996
0.687,0.011,1.525,0.139,-1.522,-7.064,-0.211,-17.170,7.672,-15.147,38.866,537.996
0.700,0.011,-0.096,0.147,-0.554,0.425,-0.213,-9.550,3.077,-15.082,42.272,537.996
0.713,0.011,-5.245,0.146,2.375,-0.780,-0.203,-8.285,7.335,-15.014,40.046,537.996
0.726,0.011,-0.027,0.157,-0.420,-4.128,-0.212,-14.606,2.740,-14.947,42.348,537.996
0.753,0.011,-3.256,0.147,0.250,7.677,-0.195,-8.548,3.960,-14.852,39.919,537.996
0.766,0.011,0.062,0.152,-0.219,-5.598,-0.192,-16.239,2.767,-14.804,41.705,537.996
0.779,0.011,3.660,0.158,-1.831,-0.031,-0.194,-14.240,4.171,-14.759,40.790,537.996
0.792,0.011,-4.809,0.155,2.860,-2.516,-0.190,-5.552,4.144,-14.711,39.892,537.996
0.805,0.011,3.912,0.165,-1.799,-8.993,-0.219,-20.019,4.777,-14.653,39.773,537.996
0.818,0.011,2.862,0.163,-0.629,5.281,-0.200,-9.657,0.922,-14.606,41.490,537.996
0.852,0.012,3.659,0.170,-1.594,-7.216,-0.214,-17.681,4.561,-14.466,38.534,537.996
0.865,0.011,-1.013,0.166,0.433,-2.946,-0.214,-13.304,2.059,-14.416,41.013,537.996
0.878,0.011,2.094,0.165,-0.928,2.869,-0.213,-6.848,6.790,-14.361,37.444,537.996
0.891,0.011,2.710,0.153,0.425,-1.566,-0.211,-6.977,2.809,-14.312,39.590,537.996
0.904,0.011,2.628,0.148,-0.586,-1.323,-0.222,-19.748,3.848,-14.260,40.112,537.996
0.917,0.011,-2.177,0.144,1.622,12.844,-0.191,4.230,5.554,-14.200,37.823,537.996
0.943,0.011,4.081,0.158,-1.922,-3.414,-0.212,-16.251,5.125,-14.071,37.411,537.996
0.956,0.011,-0.453,0.161,-0.136,7.745,-0.180,-1.431,4.612,-14.008,38.033,537.996
0.969,0.011,4.451,0.152,-2.608,-7.935,-0.179,-18.842,5.766,-13.947,37.646,537.996
0.982,0.011,-1.092,0.162,0.250,-0.616,-0.194,-12.475,0.744,-13.893,39.327,537.996
0.995,0.011,-4.184,0.164,-0.361,-0.300,-0.188,-10.670,3.952,-13.842,39.529,537.996
1.008,0.011,2.736,0.174,-1.173,0.998,-0.184,-10.358,3.869,-13.793,36.149,537.996
1.036,0.012,-1.540,0.163,0.781,1.892,-0.190,-7.934,3.174,-13.719,38.144,537.996
1.049,0.011,-4.092,0.164,0.332,-6.555,-0.189,-18.950,0.316,-13.697,40.155,537.996
1.062,0.011,2.340,0.170,-0.730,-2.163,-0.197,-12.435,1.913,-13.666,39.007,537.996
1.075,0.011,-3.714,0.151,0.524,1.559,-0.181,-1.113,2.515,-13.623,38.284,537.996
1.088,0.011,-0.072,0.153,0.887,-5.004,-0.191,-16.336,3.937,-13.577,37.289,537.996
1.101,0.011,1.479,0.153,-0.163,6.464,-0.171,-15.949,2.056,-13.540,37.726,537.996
1.128,0.011,0.804,0.162,-0.538,-2.707,-0.172,-15.191,2.306,-13.461,36.860,537.996
1.141,0.011,-1.967,0.160,0.928,-0.480,-0.168,-10.567,1.923,-13.437,38.232,537.996
1.154,0.011,1.053,0.157,-0.483,-0.138,-0.163,-10.187,2.072,-13.411,38.064,537.996
1.167,0.011,-0.635,0.152,0.021,-3.989,-0.165,-11.775,-1.449,-13.404,40.787,537.996
1.180,0.011,1.309,0.155,-1.021,1.461,-0.165,-12.213,3.977,-13.387,37.995,537.996
1.193,0.011,-0.278,0.154,0.125,3.959,-0.148,-5.640,-0.062,-13.380,39.507,537.996
1.206,0.011,-0.832,0.162,-0.019,-6.827,-0.176,-13.884,0.438,-13.378,39.517,537.996
1.233,0.011,1.231,0.164,-0.070,-8.233,-0.163,-6.964,1.658,-13.353,37.613,537.996
1.246,0.011,2.257,0.174,-1.445,-0.535,-0.181,-17.103,-0.272,-13.330,38.459,537.996
1.259,0.011,-2.617,0.181,-0.435,5.460,-0.173,-7.259,2.698,-13.296,38.309,537.996
1.272,0.011,-0.123,0.183,1.117,-9.887,-0.185,-17.029,5.328,-13.249,35.717,537.996
1.285,0.011,-2.493,0.190,0.949,3.028,-0.170,-6.742,0.201,-13.212,39.000,537.996
1.298,0.011,1.023,0.176,-0.208,3.520,-0.167,-6.121,4.689,-13.179,35.445,537.996
1.324,0.011,-3.097,0.175,-0.462,0.430,-0.160,-10.196,1.800,-13.110,36.771,537.996
1.337,0.011,1.304,0.181,-1.175,2.870,-0.160,-9.624,4.410,-13.067,35.423,537.996
1.350,0.011,0.277,0.187,-0.279,-4.169,-0.163,-14.653,1.968,-13.030,37.081,537.996
1.363,0.011,1.722,0.179,-0.486,-4.379,-0.175,-19.835,3.700,-12.990,37.125,537.996
1.376,0.011,-2.167,0.183,0.231,9.607,-0.145,-3.073,2.713,-12.946,36.404,537.996
1.389,0.011,-0.831,0.171,2.390,-6.406,-0.149,-8.741,6.223,-12.893,34.172,543.196
1.418,0.011,4.475,0.179,0.418,-3.146,-0.133,-7.042,7.806,-12.755,31.898,554.797
1.431,0.011,-0.314,0.174,0.007,-2.113,-0.135,-12.371,1.497,-12.693,36.454,559.997
1.444,0.011,-0.672,0.160,-0.303,2.545,-0.132,-15.245,7.122,-12.640,37.736,562.797
1.458,0.012,4.927,0.167,-1.694,-7.651,-0.118,-15.039,5.901,-12.552,31.969,568.398
1.471,0.011,4.792,0.161,1.464,2.374,-0.110,-11.972,4.003,-12.499,35.248,573.598
1.484,0.011,-2.779,0.146,2.975,2.545,-0.090,-2.370,4.725,-12.443,32.631,578.798
1.512,0.012,-6.800,0.141,-0.895,11.907,-0.044,3.783,3.044,-12.378,36.534,584.799
1.525,0.011,-0.543,0.148,-2.575,-8.140,-0.043,-12.872,1.205,-12.360,33.696,587.599
1.538,0.011,1.385,0.157,1.110,2.661,-0.033,-11.373,-0.961,-12.352,36.995,592.799
1.551,0.011,6.361,0.147,0.365,-8.653,-0.054,-19.239,4.780,-12.306,31.462,597.999
1.564,0.011,-0.205,0.142,-0.237,1.739,-0.054,-8.099,1.682,-12.261,34.938,603.200
1.577,0.011,-3.611,0.159,-1.388,1.968,-0.043,-5.739,7.691,-12.197,33.810,606.400
1.604,0.011,-1.686,0.173,0.449,5.220,-0.007,-4.228,5.424,-12.081,31.685,615.200
1.617,0.011,1.036,0.173,-1.056,-6.995,-0.058,-17.647,6.026,-12.007,31.144,620.401
1.630,0.011,-0.901,0.147,1.371,0.216,-0.067,-2.325,5.695,-11.923,30.796,625.601
1.643,0.011,1.503,0.129,-0.791,-10.971,-0.110,-22.222,8.065,-11.824,29.162,630.001
1.656,0.011,-6.092,0.119,2.624,12.905,-0.077,2.596,8.951,-11.738,29.593,635.202
1.669,0.011,-1.412,0.127,-2.667,-0.594,-0.086,-15.264,7.680,-11.636,25.416,640.002
1.682,0.011,-0.152,0.108,2.177,6.786,-0.022,-3.317,8.235,-11.543,30.965,640.002
1.709,0.011,1.311,0.152,-2.748,-1.838,0.026,-12.057,9.764,-11.299,26.426,640.002
1.722,0.011,-2.496,0.172,0.265,-4.693,0.006,-19.362,6.730,-11.193,27.838,640.002
1.735,0.011,0.758,0.173,-0.638,8.190,0.029,5.494,11.153,-11.071,24.695,640.002
1.748,0.011,5.802,0.213,-4.482,-7.986,0.014,-21.266,10.917,-10.946,25.420,640.002
1.761,0.011,-5.196,0.213,-0.621,7.850,0.089,-3.762,9.830,-10.809,26.217,640.002
1.774,0.011,-9.717,0.171,3.116,6.314,0.125,-9.393,9.604,-10.661,22.351,640.002
1.800,0.011,1.051,0.047,1.346,6.246,0.186,-3.049,7.989,-10.387,24.977,640.002
1.813,0.011,2.291,0.058,-1.625,0.104,0.222,-9.859,15.138,-10.225,19.423,640.002
1.826,0.011,-5.023,0.064,-1.955,7.290,0.274,-13.964,9.270,-10.076,22.965,640.002
1.839,0.011,-0.085,0.055,0.294,6.313,0.381,4.153,15.795,-9.908,18.218,640.002
1.852,0.011,3.652,0.087,-2.347,-11.542,0.376,-22.747,12.398,-9.736,19.896,640.002
1.865,0.011,1.866,0.138,-1.785,4.576,0.396,-4.847,15.134,-9.557,18.665,640.002
